iter	MultiClass
0	0.6757485369
1	0.6581675265
2	0.6451232309
3	0.6316315241
4	0.6197214721
5	0.6093150182
6	0.5991681889
7	0.5903705355
8	0.5826365342
9	0.5735816887
10	0.5670644501
11	0.5596559793
12	0.5534385521
13	0.5473959609
14	0.5414639261
15	0.535208743
16	0.5300658504
17	0.5250545047
18	0.5198435512
19	0.5155658421
20	0.5120488622
21	0.5073746463
22	0.5021112815
23	0.4978751815
24	0.4938122029
25	0.490169781
26	0.4856630758
27	0.4824645032
28	0.4785689632
29	0.4753448216
30	0.4721235292
31	0.4695332855
32	0.4668685062
33	0.4640625151
34	0.4612785721
35	0.4583703687
36	0.4558836566
37	0.4531429121
38	0.4507259842
39	0.4488090703
40	0.4459632457
41	0.4430551134
42	0.4408056592
43	0.4385609211
44	0.4367626946
45	0.434454053
46	0.4324568738
47	0.4304011124
48	0.4285694982
49	0.4265439191
50	0.4245820505
51	0.4225402733
52	0.4205838564
53	0.4191590227
54	0.417609809
55	0.4161213647
56	0.4149595057
57	0.4135416343
58	0.4121721107
59	0.410637604
60	0.4094631863
61	0.4078236079
62	0.4061963807
63	0.4047406524
64	0.403158072
65	0.401542196
66	0.3999249916
67	0.3986445149
68	0.3968627486
69	0.3953627517
70	0.3940831648
71	0.3927932412
72	0.3915691583
73	0.3904820061
74	0.3891306377
75	0.3877336867
76	0.3865851975
77	0.3857735836
78	0.3846158324
79	0.3837215142
80	0.3827849949
81	0.3815506438
82	0.3805724154
83	0.3797823376
84	0.3785625751
85	0.377334918
86	0.3760421481
87	0.3750995524
88	0.3739809644
89	0.373310094
90	0.372264412
91	0.3712662678
92	0.3702353137
93	0.3692457604
94	0.3681576375
95	0.3672965892
96	0.3660158269
97	0.3650363118
98	0.3641977719
99	0.3634505592
100	0.3624519428
101	0.3617339323
102	0.3609384176
103	0.3599662605
104	0.3592708886
105	0.3585819904
106	0.3577345405
107	0.3567492496
108	0.3559661482
109	0.3552006716
110	0.3544278959
111	0.353788926
112	0.3531141434
113	0.3525941014
114	0.351710802
115	0.3506618849
116	0.3499710238
117	0.3493385433
118	0.348781802
119	0.3481267058
120	0.3475225472
121	0.346996769
122	0.3464190816
123	0.3456449044
124	0.3450919192
125	0.3445549856
126	0.3439675268
127	0.343165123
128	0.3426491911
129	0.3420621868
130	0.3414138249
131	0.3406659699
132	0.3401657001
133	0.3395748297
134	0.3391139703
135	0.3383550676
136	0.3377968766
137	0.3374761595
138	0.3369704858
139	0.3366578376
140	0.3361113286
141	0.3355984266
142	0.3350249759
143	0.3346137502
144	0.3341195548
145	0.3338155836
146	0.3332852072
147	0.3327284215
148	0.3322263259
149	0.3318437938
150	0.3314616934
151	0.3308367434
152	0.3304374622
153	0.3300820477
154	0.329725595
155	0.3293008937
156	0.3288763474
157	0.3283243632
158	0.3278573089
159	0.3275233755
160	0.3272092354
161	0.3267441035
162	0.3261443903
163	0.3258655452
164	0.3255074958
165	0.3251603814
166	0.3247536007
167	0.3241741364
168	0.3238120711
169	0.3235154036
170	0.3230972342
171	0.322682677
172	0.3223321164
173	0.3218960168
174	0.3214635224
175	0.3211219465
176	0.3207869209
177	0.3204868221
178	0.3202547981
179	0.3199383905
180	0.3195168789
181	0.3191273193
182	0.3188166247
183	0.3185512438
184	0.3181089148
185	0.3177554117
186	0.3174528204
187	0.3171648674
188	0.3168402262
189	0.3166132325
190	0.3162784223
191	0.3156330045
192	0.3153088226
193	0.3149678248
194	0.31457301
195	0.3142489803
196	0.313922216
197	0.313643707
198	0.3130215198
199	0.3124388318
200	0.3122116161
201	0.3118609513
202	0.3114860561
203	0.3112393443
204	0.3109043088
205	0.3105113712
206	0.3103402719
207	0.3098785922
208	0.3093378085
209	0.3088990489
210	0.3084941892
211	0.3082235104
212	0.3078064106
213	0.3075363472
214	0.3072326899
215	0.3068891483
216	0.3065608068
217	0.3062206976
218	0.3058435299
219	0.305168062
220	0.3049091774
221	0.3046352162
222	0.3044795734
223	0.3042352978
224	0.3039238433
225	0.3036661675
226	0.3034501834
227	0.303128452
228	0.3029158405
229	0.3027292823
230	0.3025438617
231	0.3021950651
232	0.3019309662
233	0.3017726784
234	0.3015974541
235	0.3013435756
236	0.300992013
237	0.3007042344
238	0.3003836856
239	0.3001496133
240	0.2999745354
241	0.2997355706
242	0.29940326
243	0.2992188677
244	0.2985949753
245	0.2984048786
246	0.2982814754
247	0.2981070254
248	0.2978553966
249	0.2975779384
250	0.2972774339
251	0.2969046274
252	0.2966592901
253	0.2964858072
254	0.2963070245
255	0.2959656783
256	0.2956086845
257	0.2954268312
258	0.2952003714
259	0.2949863381
260	0.2947986667
261	0.2946492192
262	0.2943686072
263	0.2942316608
264	0.2939744407
265	0.2938065708
266	0.2935765929
267	0.2933547193
268	0.2931874799
269	0.2930720739
270	0.2927467027
271	0.2923948777
272	0.2920645744
273	0.2918521219
274	0.2915779361
275	0.2911730733
276	0.2909507193
277	0.2906951209
278	0.2905431668
279	0.2903883152
280	0.2899943951
281	0.2898426741
282	0.289549487
283	0.2893346783
284	0.2890948011
285	0.2886515007
286	0.2885696298
287	0.288398634
288	0.2880690579
289	0.2878733498
290	0.2877420356
291	0.2875467355
292	0.2873118852
293	0.287129848
294	0.2869077909
295	0.2866747803
296	0.286390597
297	0.2861300076
298	0.2859756448
299	0.2857253531
300	0.2855228391
301	0.2853294473
