iter	Passed	Remaining
0	10	10085
1	21	10558
2	32	10935
3	44	10994
4	57	11392
5	65	10859
6	74	10610
7	83	10328
8	90	10010
9	99	9850
10	110	9901
11	121	9990
12	129	9868
13	141	9968
14	149	9835
15	159	9780
16	167	9700
17	172	9430
18	179	9264
19	187	9170
20	194	9045
21	204	9071
22	209	8908
23	223	9080
24	232	9052
25	241	9036
26	247	8915
27	252	8771
28	259	8694
29	265	8585
30	272	8512
31	277	8389
32	284	8340
33	290	8241
34	297	8195
35	303	8118
36	311	8109
37	323	8201
38	334	8231
39	341	8197
40	349	8180
41	356	8136
42	365	8135
43	371	8067
44	377	8005
45	383	7955
46	393	7971
47	404	8015
48	410	7957
49	417	7924
50	422	7861
51	434	7924
52	441	7896
53	451	7905
54	455	7834
55	463	7814
56	468	7756
57	473	7689
58	480	7667
59	487	7635
60	492	7576
61	502	7596
62	507	7543
63	514	7524
64	519	7478
65	528	7474
66	537	7483
67	543	7455
68	550	7429
69	565	7506
70	578	7568
71	590	7606
72	599	7612
73	606	7587
74	617	7610
75	629	7652
76	640	7673
77	651	7700
78	662	7723
79	672	7735
80	681	7736
81	692	7754
82	700	7741
83	710	7750
84	718	7733
85	729	7757
86	735	7716
87	745	7726
88	752	7702
89	760	7694
90	767	7664
91	779	7698
92	793	7739
93	802	7736
94	811	7734
95	818	7705
96	826	7694
97	836	7701
98	851	7752
99	866	7795
100	881	7841
101	890	7838
102	896	7805
103	912	7857
104	926	7899
105	931	7857
106	938	7830
107	943	7790
108	957	7824
109	965	7815
110	978	7832
111	988	7839
112	993	7800
113	999	7764
114	1005	7740
115	1021	7784
116	1033	7797
117	1044	7804
118	1054	7803
119	1063	7798
120	1073	7799
121	1090	7844
122	1103	7870
123	1113	7867
124	1127	7893
125	1139	7905
126	1152	7925
127	1167	7950
128	1175	7938
129	1190	7969
130	1208	8015
131	1224	8053
132	1238	8070
133	1249	8072
134	1258	8061
135	1267	8055
136	1277	8047
137	1291	8067
138	1303	8076
139	1311	8057
140	1319	8038
141	1325	8009
142	1330	7972
143	1340	7969
144	1351	7966
145	1359	7953
146	1371	7958
147	1376	7924
148	1383	7902
149	1389	7873
150	1394	7840
151	1402	7827
152	1410	7809
153	1421	7807
154	1427	7784
155	1434	7763
156	1441	7740
157	1453	7744
158	1462	7734
159	1471	7724
160	1480	7717
161	1487	7693
162	1497	7690
163	1504	7669
164	1513	7660
165	1519	7636
166	1526	7613
167	1536	7608
168	1549	7620
169	1557	7602
170	1569	7607
171	1583	7623
172	1600	7650
173	1614	7664
174	1623	7655
175	1639	7673
176	1650	7674
177	1662	7678
178	1675	7683
179	1681	7660
180	1689	7644
181	1699	7637
182	1714	7655
183	1727	7662
184	1741	7671
185	1754	7676
186	1764	7669
187	1780	7691
188	1790	7681
189	1800	7675
190	1806	7650
191	1816	7643
192	1828	7647
193	1841	7648
194	1850	7640
195	1860	7631
196	1869	7619
197	1876	7600
198	1881	7574
199	1888	7554
200	1896	7537
201	1902	7516
202	1908	7492
203	1916	7477
204	1924	7461
205	1932	7447
206	1937	7423
207	1946	7410
208	1960	7421
209	1971	7417
210	1981	7409
211	1989	7396
212	1996	7375
213	2004	7363
214	2013	7350
215	2021	7335
216	2027	7315
217	2033	7294
218	2043	7286
219	2058	7297
220	2077	7321
221	2089	7323
222	2099	7316
223	2115	7329
224	2129	7334
225	2140	7329
226	2150	7323
227	2155	7297
228	2161	7278
229	2172	7271
230	2186	7279
231	2195	7268
232	2205	7260
233	2219	7264
234	2229	7257
235	2240	7252
236	2248	7237
237	2259	7234
238	2270	7229
239	2277	7213
240	2286	7202
241	2297	7194
242	2307	7187
243	2319	7186
244	2324	7163
245	2342	7178
246	2353	7175
247	2362	7163
248	2372	7154
249	2377	7132
250	2386	7120
251	2391	7099
252	2405	7102
253	2417	7100
254	2423	7081
255	2429	7061
256	2438	7050
257	2447	7039
258	2457	7030
259	2470	7032
260	2476	7011
261	2484	6997
262	2491	6980
263	2497	6963
264	2503	6943
265	2516	6944
266	2525	6933
267	2536	6929
268	2542	6908
269	2551	6898
270	2556	6876
271	2564	6864
272	2571	6848
273	2581	6840
274	2590	6828
275	2603	6829
276	2618	6834
277	2624	6815
278	2631	6799
279	2639	6786
280	2654	6793
281	2670	6799
282	2682	6795
283	2694	6793
284	2701	6778
285	2717	6784
286	2731	6785
287	2744	6785
288	2759	6788
289	2771	6784
290	2783	6781
291	2792	6772
292	2801	6759
293	2810	6748
294	2817	6733
295	2830	6730
296	2839	6722
297	2846	6705
298	2855	6694
299	2867	6691
300	2876	6680
301	2885	6670
